length_of_association,Income,total_amount_spend
101,58138.0,1441.0
83,46344.0,20.0
89,71613.0,713.0
83,26646.0,45.0
84,58293.0,380.0
89,62513.0,660.0
99,55635.0,514.0
93,33454.0,145.0
92,30351.0,41.0
82,18985.5,35.0
99,18985.5,44.0
86,63033.0,960.0
86,59354.0,291.0
100,18985.5,40.0
98,82800.0,1202.0
97,41850.0,79.0
101,37760.0,277.0
94,76995.0,1590.0
99,33812.0,70.0
102,37040.0,230.0
97,18985.5,1644.0
97,58607.0,953.0
84,65324.0,507.0
94,40689.0,339.0
97,18985.5,50.0
92,53359.0,210.0
92,38360.0,100.0
86,84130.0,1606.0
80,18985.5,24.0
93,38620.0,207.0
100,40548.0,117.0
99,46610.0,237.0
95,68657.0,1106.0
89,49389.0,61.0
85,67353.0,870.0
89,23718.0,38.0
83,42429.0,63.0
96,48948.0,811.0
93,80011.0,1115.0
95,20559.0,46.0
97,21994.0,18.0
88,18985.5,17.0
79,79941.0,780.0
99,18985.5,50.0
92,41728.0,37.0
99,72550.0,1243.0
80,65486.0,426.0
102,79143.0,1494.0
97,35790.0,68.0
79,82582.0,1336.0
91,66373.0,473.0
98,82384.0,1644.0
94,70287.0,933.0
81,27938.0,23.0
83,55954.0,475.0
91,75777.0,1345.0
101,66653.0,588.0
95,61823.0,701.0
92,67680.0,594.0
86,70666.0,924.0
92,25721.0,16.0
80,32474.0,16.0
82,84130.0,1212.0
88,69096.0,462.0
94,74854.0,1460.0
101,66991.0,1181.0
94,65031.0,740.0
94,60631.0,636.0
81,28332.0,41.0
97,40246.0,16.0
101,75251.0,1644.0
100,75825.0,1644.0
89,26326.0,16.0
97,56046.0,641.0
101,29760.0,143.0
91,26304.0,16.0
91,23559.0,56.0
93,38620.0,207.0
83,81361.0,637.0
89,29440.0,49.0
90,36138.0,146.0
80,50388.0,335.0
80,79593.0,1088.0
84,54178.0,187.0
82,42394.0,27.0
80,23626.0,43.0
80,30096.0,31.0
98,47916.0,531.0
94,51813.0,60.0
86,78497.0,755.0
91,50150.0,338.0
90,47823.0,61.0
82,34554.0,50.0
93,84130.0,926.0
92,65846.0,999.0
80,84130.0,1033.0
85,24594.0,20.0
88,49096.0,179.0
96,52413.0,747.0
97,38557.0,114.0
98,84130.0,785.0
87,77298.0,855.0
99,68126.0,1644.0
79,57288.0,548.0
97,84130.0,688.0
98,43974.0,479.0
88,50785.0,86.0
84,84130.0,1609.0
95,36550.0,354.0
91,30753.0,42.0
86,21918.0,25.0
91,56129.0,540.0
83,32557.0,66.0
89,19510.0,19.0
93,30992.0,38.0
