Product,Quantity Ordered,Price Each,Month,Sales,DayofWeek,Hour
20in Monitor,4126,450739.01999999996,29319,453818.74,12219,58729
27in 4K Gaming Monitor,6239,2427687.75,44396,2433147.61,18531,90841
27in FHD Monitor,7541,1124625.02,52484,1131074.59,22646,107422
34in Ultrawide Monitor,6192,2346058.2600000002,43258,2352898.08,18601,88957
AA Batteries (4-pack),27615,78942.72,145423,106041.59999999999,61430,298077
AAA Batteries (4-pack),30986,61629.880000000005,146149,92648.14,61132,296904
Apple Airpods Headphones,15637,2328750.0,109304,2345550.0,46390,222938
Bose SoundSport Headphones,13430,1329667.02,93918,1342865.7,40373,192077
Flatscreen TV,4813,1438200.0,34172,1443900.0,14282,68719
Google Phone,5529,3313200.0,38286,3317400.0,16633,79438
LG Dryer,646,387600.0,4383,387600.0,1963,9326
LG Washing Machine,666,399600.0,4523,399600.0,1968,9785
Lightning Charging Cable,23169,323069.5,152741,346376.55,64944,311815
Macbook Pro Laptop,4725,8025700.0,33526,8032500.0,14086,68225
ThinkPad Laptop,4128,4125958.74,28926,4127958.72,12343,59713
USB-C Charging Cable,23931,261215.05,154520,285975.44999999995,65221,313980
Vareebadd Phone,2068,826000.0,14309,827200.0,6152,29472
Wired Headphones,20524,225999.51,133123,246082.76,56312,271245
iPhone,6847,4788000.0,47933,4792900.0,20270,98617
