location,PeopleFullyVaccinated,MAX(people_fully_vaccinated)/MAX(population)*100
China,1207413000,83.60334705643658
India,595496704,42.73667601521857
"United States",204220949,61.34325686916778
Brazil,143398692,67.01078842879114
Indonesia,113004368,40.89001189990854
Japan,98660175,78.27017212965478
Mexico,72780356,55.87219072421766
Pakistan,70576467,31.33947124823472
Russia,66680739,45.699276924556635
Germany,59174944,70.5299306365038
Vietnam,56385381,57.437153498082374
Turkey,51565713,60.6350588250124
Iran,51194091,60.207970808935706
Philippines,49626439,44.68961720771879
France,49445929,73.18356715003027
"United Kingdom",47368074,69.44740984056297
Thailand,45423045,64.93566396425467
Bangladesh,44735702,26.900037349786533
Italy,44719403,74.07864245298597
"South Korea",42533516,82.9029596697285
Spain,37865247,81.00347862372469
Argentina,32638229,71.56592481622359
Canada,29402591,77.23720236515199
Colombia,27992589,54.602808525076185
Malaysia,25609301,78.13384378510074
"Saudi Arabia",23171018,65.5647203166436
Morocco,22994609,61.573812162859575
Poland,21042850,55.67333386247586
Peru,21041985,63.07660071377151
Egypt,20627388,19.784882985893297
Australia,19755837,76.60799891671456
Chile,16512621,85.94789646374558
Taiwan,16117933,67.56624437099329
"South Africa",15833594,26.37086548555115
"Sri Lanka",13840279,64.3814578440666
Ukraine,13719067,31.56215791437432
Cambodia,13650819,80.55269523769172
Myanmar,13029777,23.77435622302326
Ecuador,12569652,70.26676506894887
Netherlands,12198544,71.03288434803886
Venezuela,11608305,40.44008511842924
Uzbekistan,11102403,32.715935532910486
Nepal,9737333,32.81334204102319
Cuba,9643835,85.21172259098256
Portugal,9093923,89.43737083768238
"United Arab Emirates",9059559,90.67644618706501
Belgium,8798300,75.63658333744544
Kazakhstan,8502383,44.7612624360633
Romania,7806308,40.811381482380696
Sweden,7381069,72.64718002936765
Greece,7002911,67.52561797139589
Czechia,6647533,61.98424307288145
Austria,6471189,71.5596315057538
Mozambique,6084817,18.918659598306068
Hungary,5981569,62.087070987596015
Israel,5917321,63.68874179313314
Tunisia,5860069,49.09672309204505
Switzerland,5824512,66.82939601587701
"Dominican Republic",5697773,52.01681365790635
Iraq,5639110,13.694023492502346
Algeria,5609040,12.571636411951006
Rwanda,5402766,40.694151937590256
Singapore,4744632,87
Guatemala,4675568,25.619735989323324
Azerbaijan,4673411,45.713134567319656
"Hong Kong",4656901,61.65794142569643
Bolivia,4584243,38.74138252754853
Denmark,4569247,78.59985598546231
Nigeria,4380239,2.0720077639854972
Honduras,4296605,42.697083989118944
"El Salvador",4146488,63.61107616783003
Finland,4129929,74.43511696517223
Kenya,4086482,7.431899296293426
Jordan,3933851,38.307942080560345
Angola,3929727,11.580633136862446
Norway,3918456,71.69268166573326
"New Zealand",3850822,75.1731933002772
Ireland,3833454,76.93212632633501
Afghanistan,3566192,8.952312499315935
"Costa Rica",3505176,68.20665208161893
Belarus,3228165,34.18628050146211
Kuwait,3216700,74.3135177044153
Serbia,3207534,46.67848448100552
Turkmenistan,3206282,52.40792927938244
Zimbabwe,3121776,20.684737802135956
Laos,3099003,41.995563841732576
Paraguay,2948027,40.83342925223013
Nicaragua,2905785,43.35453127911746
Oman,2890827,55.34403420316669
Tajikistan,2766948,28.380045386361015
Uruguay,2674702,76.7456340498205
Panama,2466581,56.29428907315005
Slovakia,2432592,44.54704374473285
Ghana,2334010,7.355352909202938
Qatar,2218292,75.6960871161608
Mongolia,2163528,64.98482255333133
Croatia,1948654,47.741738220531516
Bulgaria,1913988,27.752410407654143
Lithuania,1831071,68.07304612652992
Lebanon,1830105,27.035960639672542
Ethiopia,1559666,1.3231387302813715
"Cote d'Ivoire",1505936,5.566484259838116
Palestine,1478705,28.31273373674742
Uganda,1408222,2.9883625236673153
Tanzania,1359225,2.210178086149115
Benin,1319264,10.595620555438341
Latvia,1261386,67.5645737878254
Sudan,1234386,2.7486168749132003
Slovenia,1190080,57.250533139817094
Bahrain,1177631,67.35882674262639
Zambia,1171502,6.191656029703408
Georgia,1148962,28.87003856752634
Botswana,1031923,43.046294905808345
Albania,1031132,35.891252635807156
Togo,997183,11.76167181828497
Kyrgyzstan,994992,15.011163416761372
Moldova,981735,24.396841470915316
Senegal,941230,5.4734423226194835
Mauritius,910556,71.5043174800617
Guinea,902336,6.68533863634461
Libya,825677,11.86566775952075
Estonia,816646,61.62491661560473
"North Macedonia",811664,38.97244918880221
Somalia,810010,4.9513126929307125
Syria,781603,4.276732650080128
Kosovo,781351,43.844028022882924
Mauritania,767082,16.064174437866352
Liberia,755263,14.579781352409016
"Bosnia and Herzegovina",720631,22.08181564407581
Armenia,692082,23.317121094508053
Malawi,687294,3.498092217600642
"Trinidad and Tobago",667723,47.57983260342574
"Burkina Faso",649320,3.0205008611162705
Lesotho,641007,29.689074030588213
Cameroon,627046,2.303261700904877
Cyprus,607884,67.84381783583797
Fiji,605593,67.07206453878008
Jamaica,566887,19.064881273074956
Bhutan,565081,72.4555712270804
Congo,560880,9.914766033052402
Madagascar,541160,1.9036608182695154
Timor,533027,39.66343595944563
Niger,464413,1.8479826157612906
Macao,461609,70.11168135651916
Malta,435635,84.40902925789575
Luxembourg,429705,67.689906019716
Mali,392809,1.8834589487279367
Brunei,385414,87.29016243443284
"Sierra Leone",385232,4.731799163848029
Maldives,367346,67.574040690188
Yemen,366587,1.202293595749174
"Central African Republic",346270,7.038026726493383
Namibia,341669,13.205395185178315
Guyana,314356,39.775334069735514
Eswatini,301243,25.695237591577396
Iceland,283920,82.68872320596459
"Northern Cyprus",275988,NULL
Montenegro,272385,43.369885566618
"Cape Verde",255954,45.55144055625457
Comoros,244741,27.54677778077924
Gambia,230044,9.250093589021354
Suriname,228253,38.569410508315336
"Papua New Guinea",220103,2.413673421606853
"Equatorial Guinea",203390,14.027951066666391
Belize,199119,49.17550597038885
"South Sudan",181577,1.595386920229424
"New Caledonia",173231,60.10436580770738
Gabon,173123,7.597015835764773
"French Polynesia",159100,56.31180672060708
Bahamas,147365,37.12769012934792
Barbados,143062,49.72472089757671
Samoa,121765,60.83869613878008
"Democratic Republic of Congo",105945,0.11468641457500492
Curacao,96584,58.60821864608364
Djibouti,91364,9.116371332183192
Chad,80663,0.4768730211702818
Aruba,79008,73.70493026726993
Seychelles,78263,79.12546759680518
Jersey,76464,75.65225134308866
Haiti,73580,0.6375153432995864
"Isle of Man",65454,76.63505444327362
"Antigua and Barbuda",58503,59.256745806660724
"Cayman Islands",56891,85.552948960871
Tonga,56627,53.041898106951166
"Solomon Islands",55945,7.946789394811042
"Sao Tome and Principe",51216,22.929388800343833
Andorra,50551,65.35020813403315
Vanuatu,50403,16.028225806451612
"Saint Lucia",49232,26.698336776915525
Bermuda,45762,73.70031566063261
"Faeroe Islands",40528,82.620838684688
Gibraltar,40065,118.918999139236
Greenland,38053,66.91460927059154
Grenada,35457,31.37371145423174
Dominica,27618,38.26691791830627
"Turks and Caicos Islands",27133,69.170958038036
"Saint Vincent and the Grenadines",26244,23.586084174388194
"Saint Kitts and Nevis",25619,47.844843685802864
Liechtenstein,25596,66.9106498666806
"Sint Maarten (Dutch part)",25163,57.95122175905668
Monaco,23308,58.977732793522264
Guinea-Bissau,23144,1.1483063671861433
Kiribati,22675,18.679770652782814
"San Marino",21625,63.58423992943252
"British Virgin Islands",17005,55.89521086020445
"Bonaire Sint Eustatius and Saba",16736,63.286065418793726
Guernsey,13618,21.48457837027688
"Cook Islands",12498,71.12451627589347
Anguilla,9223,60.97851239669422
Nauru,7251,66.68812655200956
"Wallis and Futuna",5923,53.38921939787272
Tuvalu,5884,49.341719077568136
Burundi,3533,0.028828040209771522
"Saint Helena",3531,57.932731747333875
"Falkland Islands",1775,50.31179138321995
Montserrat,1472,29.552298735193737
Niue,1150,71.25154894671624
Tokelau,968,70.76023391812866
Pitcairn,47,100
Eritrea,NULL,NULL
"Marshall Islands",NULL,NULL
"Micronesia (country)",NULL,NULL
Palau,NULL,NULL
"Saint Pierre and Miquelon",NULL,NULL
Vatican,NULL,NULL
