date,NewCases
"2020-01-01 00:00:00",NULL
"2020-01-02 00:00:00",NULL
"2020-01-03 00:00:00",NULL
"2020-01-04 00:00:00",NULL
"2020-01-05 00:00:00",NULL
"2020-01-06 00:00:00",NULL
"2020-01-07 00:00:00",NULL
"2020-01-08 00:00:00",NULL
"2020-01-09 00:00:00",NULL
"2020-01-10 00:00:00",NULL
"2020-01-11 00:00:00",NULL
"2020-01-12 00:00:00",NULL
"2020-01-13 00:00:00",NULL
"2020-01-14 00:00:00",NULL
"2020-01-15 00:00:00",NULL
"2020-01-16 00:00:00",NULL
"2020-01-17 00:00:00",NULL
"2020-01-18 00:00:00",NULL
"2020-01-19 00:00:00",NULL
"2020-01-20 00:00:00",NULL
"2020-01-21 00:00:00",NULL
"2020-01-22 00:00:00",0
"2020-01-23 00:00:00",98
"2020-01-24 00:00:00",286
"2020-01-25 00:00:00",493
"2020-01-26 00:00:00",684
"2020-01-27 00:00:00",809
"2020-01-28 00:00:00",2651
"2020-01-29 00:00:00",589
"2020-01-30 00:00:00",2068
"2020-01-31 00:00:00",1692
"2020-02-01 00:00:00",2111
"2020-02-02 00:00:00",4749
"2020-02-03 00:00:00",3100
"2020-02-04 00:00:00",4011
"2020-02-05 00:00:00",3745
"2020-02-06 00:00:00",3162
"2020-02-07 00:00:00",3594
"2020-02-08 00:00:00",2731
"2020-02-09 00:00:00",3031
"2020-02-10 00:00:00",2608
"2020-02-11 00:00:00",2042
"2020-02-12 00:00:00",418
"2020-02-13 00:00:00",15152
"2020-02-14 00:00:00",6528
"2020-02-15 00:00:00",2143
"2020-02-16 00:00:00",2183
"2020-02-17 00:00:00",2035
"2020-02-18 00:00:00",1882
"2020-02-19 00:00:00",500
"2020-02-20 00:00:00",560
"2020-02-21 00:00:00",629
"2020-02-22 00:00:00",1761
"2020-02-23 00:00:00",380
"2020-02-24 00:00:00",568
"2020-02-25 00:00:00",854
"2020-02-26 00:00:00",977
"2020-02-27 00:00:00",1359
"2020-02-28 00:00:00",1388
"2020-02-29 00:00:00",1894
"2020-03-01 00:00:00",2378
"2020-03-02 00:00:00",1979
"2020-03-03 00:00:00",2601
"2020-03-04 00:00:00",2302
"2020-03-05 00:00:00",2818
"2020-03-06 00:00:00",3916
"2020-03-07 00:00:00",4097
"2020-03-08 00:00:00",3938
"2020-03-09 00:00:00",4181
"2020-03-10 00:00:00",4823
"2020-03-11 00:00:00",7659
"2020-03-12 00:00:00",5799
"2020-03-13 00:00:00",14351
"2020-03-14 00:00:00",11098
"2020-03-15 00:00:00",11279
"2020-03-16 00:00:00",14793
"2020-03-17 00:00:00",16005
"2020-03-18 00:00:00",19546
"2020-03-19 00:00:00",27098
"2020-03-20 00:00:00",30881
"2020-03-21 00:00:00",32115
"2020-03-22 00:00:00",35142
"2020-03-23 00:00:00",42667
"2020-03-24 00:00:00",41086
"2020-03-25 00:00:00",51089
"2020-03-26 00:00:00",62862
"2020-03-27 00:00:00",64910
"2020-03-28 00:00:00",69665
"2020-03-29 00:00:00",56900
"2020-03-30 00:00:00",65279
"2020-03-31 00:00:00",76819
"2020-04-01 00:00:00",82914
"2020-04-02 00:00:00",82911
"2020-04-03 00:00:00",84315
"2020-04-04 00:00:00",58933
"2020-04-05 00:00:00",70260
"2020-04-06 00:00:00",73874
"2020-04-07 00:00:00",69401
"2020-04-08 00:00:00",83325
"2020-04-09 00:00:00",87356
"2020-04-10 00:00:00",85390
"2020-04-11 00:00:00",74477
"2020-04-12 00:00:00",119535
"2020-04-13 00:00:00",70986
"2020-04-14 00:00:00",83848
"2020-04-15 00:00:00",78160
"2020-04-16 00:00:00",95386
"2020-04-17 00:00:00",88195
"2020-04-18 00:00:00",77249
"2020-04-19 00:00:00",76826
"2020-04-20 00:00:00",75439
"2020-04-21 00:00:00",75956
"2020-04-22 00:00:00",81839
"2020-04-23 00:00:00",83513
"2020-04-24 00:00:00",83928
"2020-04-25 00:00:00",82967
"2020-04-26 00:00:00",71441
"2020-04-27 00:00:00",70204
"2020-04-28 00:00:00",75806
"2020-04-29 00:00:00",76987
"2020-04-30 00:00:00",83371
"2020-05-01 00:00:00",88597
"2020-05-02 00:00:00",79660
"2020-05-03 00:00:00",74902
"2020-05-04 00:00:00",77188
"2020-05-05 00:00:00",80103
"2020-05-06 00:00:00",90402
"2020-05-07 00:00:00",88890
"2020-05-08 00:00:00",90581
"2020-05-09 00:00:00",84155
"2020-05-10 00:00:00",75696
"2020-05-11 00:00:00",76353
"2020-05-12 00:00:00",84439
"2020-05-13 00:00:00",84954
"2020-05-14 00:00:00",95878
"2020-05-15 00:00:00",96151
"2020-05-16 00:00:00",94278
"2020-05-17 00:00:00",78427
"2020-05-18 00:00:00",88714
"2020-05-19 00:00:00",96797
"2020-05-20 00:00:00",105166
"2020-05-21 00:00:00",106308
"2020-05-22 00:00:00",107342
"2020-05-23 00:00:00",104938
"2020-05-24 00:00:00",93477
"2020-05-25 00:00:00",87708
"2020-05-26 00:00:00",92810
"2020-05-27 00:00:00",103136
"2020-05-28 00:00:00",120437
"2020-05-29 00:00:00",121077
"2020-05-30 00:00:00",135908
"2020-05-31 00:00:00",103545
"2020-06-01 00:00:00",99256
"2020-06-02 00:00:00",124449
"2020-06-03 00:00:00",111635
"2020-06-04 00:00:00",131871
"2020-06-05 00:00:00",132341
"2020-06-06 00:00:00",130603
"2020-06-07 00:00:00",111882
"2020-06-08 00:00:00",102906
"2020-06-09 00:00:00",124159
"2020-06-10 00:00:00",136197
"2020-06-11 00:00:00",135566
"2020-06-12 00:00:00",127514
"2020-06-13 00:00:00",134534
"2020-06-14 00:00:00",132420
"2020-06-15 00:00:00",122318
"2020-06-16 00:00:00",143710
"2020-06-17 00:00:00",143494
"2020-06-18 00:00:00",143436
"2020-06-19 00:00:00",181476
"2020-06-20 00:00:00",186510
"2020-06-21 00:00:00",93298
"2020-06-22 00:00:00",143264
"2020-06-23 00:00:00",167124
"2020-06-24 00:00:00",171219
"2020-06-25 00:00:00",180420
"2020-06-26 00:00:00",189756
"2020-06-27 00:00:00",176984
"2020-06-28 00:00:00",167433
"2020-06-29 00:00:00",151030
"2020-06-30 00:00:00",182173
"2020-07-01 00:00:00",217399
"2020-07-02 00:00:00",206020
"2020-07-03 00:00:00",203583
"2020-07-04 00:00:00",192633
"2020-07-05 00:00:00",182839
"2020-07-06 00:00:00",167809
"2020-07-07 00:00:00",211121
"2020-07-08 00:00:00",214480
"2020-07-09 00:00:00",225266
"2020-07-10 00:00:00",231956
"2020-07-11 00:00:00",213710
"2020-07-12 00:00:00",193339
"2020-07-13 00:00:00",192582
"2020-07-14 00:00:00",221859
"2020-07-15 00:00:00",231187
"2020-07-16 00:00:00",250152
"2020-07-17 00:00:00",243234
"2020-07-18 00:00:00",234502
"2020-07-19 00:00:00",214299
"2020-07-20 00:00:00",207856
"2020-07-21 00:00:00",240511
"2020-07-22 00:00:00",278128
"2020-07-23 00:00:00",280076
"2020-07-24 00:00:00",282914
"2020-07-25 00:00:00",252506
"2020-07-26 00:00:00",212468
"2020-07-27 00:00:00",230548
"2020-07-28 00:00:00",263182
"2020-07-29 00:00:00",274619
